medallion,hack_license,vendor_id,rate_code,store_and_fwd_flag,pickup_datetime,dropoff_datetime,passenger_count,trip_time_in_secs,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude
4D3E527682E42F1FACDFBF2D56757AC6,8C1A6E14ED1D019FBD227970CC619496,CMT,1,N,2013-09-01 17:44:05,2013-09-01 17:58:37,1,871,3.50,-74.007866,40.710232,-74.003975,40.756569
D28DD94BE7682B7434EC5CA4D523A788,96F7564919171F55F551F0F9B96B5199,CMT,1,N,2013-09-01 16:36:20,2013-09-01 16:50:53,1,872,3.10,-74.016724,40.70924,-74.000435,40.752537
CFF1FDD049E5433E6FBCC96EDA9E66A5,9BF57AD72288939D6385149524149269,CMT,1,N,2013-09-01 07:54:47,2013-09-01 08:09:17,1,869,9.60,-73.984879,40.736416,-73.86142,40.768181
F9B4C49F95496C0EFA6674364F4B54AE,2F8F14718163E0F86E3E4F718A128F2B,CMT,1,N,2013-09-02 22:50:34,2013-09-02 22:58:22,1,468,1.50,-73.983376,40.770252,-73.976158,40.789188
F2967DBF707C06314CEB745A83332D62,217B9B441D592C5F8AAA930264BE7F66,CMT,1,Y,2013-09-02 23:39:36,2013-09-02 23:58:10,1,1113,8.30,-73.970512,40.752357,-73.876572,40.738853
9BA35AC8B9018EBCF66913620278FF0E,7769D50E741629E74CEF55CCC14CE09B,CMT,1,N,2013-09-02 20:56:24,2013-09-02 21:13:10,1,1006,9.90,-73.874451,40.774063,-73.984711,40.703598
DB0D656FD074AC9E5B039E9A5A17F408,13C91816AF95F6514447B72559BEA179,CMT,1,N,2013-09-02 23:07:43,2013-09-02 23:20:50,2,787,3.90,-74.008255,40.721905,-73.966476,40.753864
8F832FF1330148CD9C4FBA7EC1D3D99A,ADADC8964B0550C8C240454314A1AB09,CMT,1,N,2013-09-02 20:02:09,2013-09-02 20:13:20,1,671,2.20,-73.983788,40.743668,-73.982826,40.767151
6B3D1A9F93C3769EF8F8446DE7CCB9F4,1BD12874047104377287751241BCDA3A,CMT,1,N,2013-09-02 17:14:08,2013-09-02 17:31:13,1,1024,2.80,-73.954201,40.764191,-73.975342,40.790531
6E971D109A3A2D171963D7E747692A28,E4B32788749E8E3D37881ED1EEAFBAA3,CMT,1,N,2013-09-04 19:41:38,2013-09-04 20:07:41,1,1563,18.80,-73.781227,40.64476,-73.9851,40.692684
6E971D109A3A2D171963D7E747692A28,E4B32788749E8E3D37881ED1EEAFBAA3,CMT,1,N,2013-09-04 18:29:33,2013-09-04 18:57:41,1,1688,11.40,-73.963699,40.757271,-73.830093,40.848579
6E971D109A3A2D171963D7E747692A28,E4B32788749E8E3D37881ED1EEAFBAA3,CMT,1,N,2013-09-04 18:16:38,2013-09-04 18:23:35,1,416,1.20,-73.961418,40.764915,-73.965767,40.752716
81D63C85750AF2C4D125380942446905,238067D9B875E1A4153EE18CADFDF499,CMT,1,N,2013-09-04 22:32:15,2013-09-04 22:36:18,1,243,1.10,-73.9888,40.748432,-73.981209,40.762512
81D63C85750AF2C4D125380942446905,238067D9B875E1A4153EE18CADFDF499,CMT,1,N,2013-09-04 16:52:07,2013-09-04 17:04:49,1,761,.70,-73.986694,40.766476,-73.97506,40.76078
69FB5FB096BE98EBAD2346D98BAFA3AB,045081DAECF31258F8679412A9ABDB76,CMT,1,N,2013-09-04 18:33:38,2013-09-04 18:36:30,1,172,.50,-73.988434,40.737186,-73.98465,40.743233
69FB5FB096BE98EBAD2346D98BAFA3AB,045081DAECF31258F8679412A9ABDB76,CMT,1,N,2013-09-04 22:02:34,2013-09-04 22:28:13,1,1538,8.40,-73.983574,40.764359,-73.869743,40.738228
30DAA9127DA29636A5D3CDD370FFB8C2,2D433B21AC8CB45CC6EBF776D8A830CA,CMT,1,N,2013-09-03 21:33:51,2013-09-03 21:39:39,2,348,1.90,-73.98735,40.754974,-73.999817,40.731094
30DAA9127DA29636A5D3CDD370FFB8C2,2D433B21AC8CB45CC6EBF776D8A830CA,CMT,1,N,2013-09-03 21:41:21,2013-09-03 21:44:57,1,216,.70,-74.000328,40.730152,-73.99485,40.723244
90908E9C2CFDB99320D74D02DDDA56FA,8058866EF9A842EE13FBFA4EFFB7A2B8,CMT,1,N,2013-09-03 22:40:21,2013-09-03 23:00:25,2,1204,4.40,-74.009445,40.729015,-73.972832,40.73674
90908E9C2CFDB99320D74D02DDDA56FA,8058866EF9A842EE13FBFA4EFFB7A2B8,CMT,1,N,2013-09-03 19:10:45,2013-09-03 19:30:17,1,1171,4.20,-73.981483,40.745548,-73.970688,40.793377
901009D82C82C88E4502452C3C7CEB9B,B2A3D75C5128F15249F7C60CBC30E0D5,CMT,1,N,2013-09-02 20:46:42,2013-09-02 20:54:26,1,464,2.00,-74.000984,40.741756,-73.982323,40.767834
901009D82C82C88E4502452C3C7CEB9B,B2A3D75C5128F15249F7C60CBC30E0D5,CMT,1,N,2013-09-02 19:00:32,2013-09-02 19:08:41,2,489,1.60,-73.990425,40.749306,-73.980202,40.735146
30D06090B2A15D7977BED25CF6FA7AF5,E150260799AC10CF393E077D82018CAC,CMT,1,N,2013-09-04 19:22:54,2013-09-04 19:29:40,2,405,.70,-73.989914,40.7314,-73.987755,40.724777
30D06090B2A15D7977BED25CF6FA7AF5,E150260799AC10CF393E077D82018CAC,CMT,1,N,2013-09-04 18:13:39,2013-09-04 18:18:04,3,264,.90,-73.965134,40.774944,-73.956009,40.784737
901009D82C82C88E4502452C3C7CEB9B,B2A3D75C5128F15249F7C60CBC30E0D5,CMT,1,N,2013-09-03 01:46:13,2013-09-03 02:00:06,1,832,4.90,-73.939796,40.707439,-73.98941,40.690231
9534E1B24F3E18D70537318D648838BB,E15CAF1F7C275A289A02862F9180AFAD,CMT,1,N,2013-09-05 06:39:50,2013-09-05 06:42:26,1,155,.70,-73.991371,40.744347,-74.00016,40.739872
9534E1B24F3E18D70537318D648838BB,E15CAF1F7C275A289A02862F9180AFAD,CMT,1,N,2013-09-05 05:27:17,2013-09-05 05:48:21,2,1264,8.10,-73.98835,40.738773,-73.948578,40.828812
0C5296F3C8B16E702F8F2E06F5106552,70AB6269E18BB5C06101C5BF4CF74724,CMT,1,N,2013-09-02 21:24:34,2013-09-02 21:37:45,1,790,2.70,-73.974327,40.743904,-74.006973,40.740772
D7B7F872E15B08447C190C886333CB70,F0750EF93FFD22036C4962D5537F5791,CMT,1,N,2013-09-02 17:52:32,2013-09-02 17:59:20,1,408,1.50,-73.990707,40.74015,-73.999626,40.722046
D6CE961B1FD2F1A9E7F2F4A2262A9DDB,98F48B35D5D6E1CC1AEEE189213FD3F4,CMT,1,N,2013-09-03 17:57:38,2013-09-03 18:02:15,1,276,.70,-74.002769,40.739742,-73.989807,40.734867
D6CE961B1FD2F1A9E7F2F4A2262A9DDB,98F48B35D5D6E1CC1AEEE189213FD3F4,CMT,1,N,2013-09-03 17:35:07,2013-09-03 17:51:36,1,988,2.10,-73.997574,40.724365,-74.006233,40.742249
D6C16061073481CF8CB66DD3948D3D13,ECB6E18FA26FB71E50B77E4E3265EE50,CMT,1,N,2013-09-03 22:35:28,2013-09-03 22:45:04,2,576,2.20,-73.990959,40.734341,-74.013077,40.709274
EAED53C499E6749B4CD10CEEBE961186,EBE5414C3D3E4DC06885874F0022917A,CMT,1,N,2013-09-02 00:14:55,2013-09-02 00:20:15,1,320,.80,-73.977936,40.752071,-73.96859,40.758888
38CBBFBAF37A1FEC4F04707992310AFC,7753FF9C4BFD3F5703D3DC450841A918,CMT,1,N,2013-09-04 22:19:08,2013-09-04 22:23:45,2,276,1.00,-73.961952,40.776119,-73.963402,40.764996
38CBBFBAF37A1FEC4F04707992310AFC,7753FF9C4BFD3F5703D3DC450841A918,CMT,1,N,2013-09-04 17:32:01,2013-09-04 17:33:40,1,98,.50,-73.97876,40.785198,-73.973778,40.791763
B63DE5DB2ACABE39D6D63019972DDB84,222F6D07517BE55DEB7FCC5F700130C1,CMT,1,N,2013-09-02 17:16:22,2013-09-02 17:23:43,1,441,2.30,-74.005325,40.722084,-73.994583,40.750259
6D49E494913752B75B2685E0019FF3D5,3F0BFE90A5D71741840B25600A89E225,CMT,1,N,2013-09-05 08:05:16,2013-09-05 08:22:58,1,1062,7.60,-73.991493,40.751457,-73.944794,40.837296
A6086D46B46031992FE603D412D80F8E,34B58FAFC5F93850487782A566190F62,CMT,1,N,2013-09-02 22:18:47,2013-09-02 22:35:11,3,984,8.90,-73.863281,40.769905,-73.950935,40.769703
D2BD7B2311CAF9D670C8A9A4C18A9C71,231D9FB693D82FBC036158815C7ECF26,CMT,1,N,2013-09-04 22:33:07,2013-09-04 22:41:22,1,494,1.90,-73.935272,40.69688,-73.959473,40.690556
3FE07421C46041F4801C7711F5971C63,3E839F62DB663F9848607822AB7746C6,CMT,1,N,2013-09-04 11:06:57,2013-09-04 11:29:34,1,1357,3.30,-74.010292,40.709518,-73.985535,40.74398
022562E7A0FEB7A9D4A31B06BF0B82E8,B706829B6520B5C6A15EF434DDE3A8D4,CMT,1,N,2013-09-04 07:25:08,2013-09-04 07:28:57,1,228,.80,-73.979286,40.739658,-73.978127,40.748402
536BF3935FB796CD4B1FFD43FF1DEF76,6FCA7E1B3CAE029D1548EE4C8DA6AFAC,CMT,2,N,2013-09-02 17:21:07,2013-09-02 18:00:07,2,2339,16.70,-73.782898,40.644451,-73.980064,40.744335
37C3E7EADFDAE6F3C28E38014B27BEC7,2E8576C79152A921CFAD5BD07072D004,CMT,1,N,2013-09-04 13:01:23,2013-09-04 13:08:38,1,435,1.30,-73.956123,40.786423,-73.960693,40.77153
B26CBD593AA8931A083D2213A89D641B,1C25EEB8F6A4C45B31BF94D9F4A4167D,CMT,1,Y,2013-09-02 18:29:54,2013-09-02 18:43:20,1,806,3.80,-73.982162,40.748947,-73.947693,40.721424
26840C7CF0423CB66A00B519A5AF9234,68B25CD964F7EF3B676508FF32591F5D,CMT,1,N,2013-09-02 20:49:10,2013-09-02 20:58:46,1,576,1.50,-73.99044,40.761459,-73.973343,40.748734
26840C7CF0423CB66A00B519A5AF9234,68B25CD964F7EF3B676508FF32591F5D,CMT,1,N,2013-09-02 16:46:34,2013-09-02 16:50:39,1,245,.90,-73.947601,40.783646,-73.956352,40.771496
5C4E04F8A6799BE2A8899ADED33FBDB8,AB92B799A4DFDECBF16CC42C9F3B8C97,CMT,1,N,2013-09-02 15:45:57,2013-09-02 15:52:03,1,365,1.20,-73.975471,40.752937,-73.964989,40.756947
5C4E04F8A6799BE2A8899ADED33FBDB8,AB92B799A4DFDECBF16CC42C9F3B8C97,CMT,1,N,2013-09-02 18:56:03,2013-09-02 19:02:03,1,360,1.10,-73.992592,40.742706,-74.003784,40.737301
79E69406883C0960EFE8D69E32A69B71,07ADB993ABF83381F05E7CCD6297609B,CMT,1,N,2013-09-02 23:23:25,2013-09-02 23:35:43,1,738,3.60,-73.996201,40.721581,-73.968124,40.76693
8C4F18BF18A8ECAB898369409A09CC17,FD86F4B4D0BD6F82E62B41537E8E30B7,CMT,1,N,2013-09-02 18:09:31,2013-09-02 18:10:38,2,66,.20,-74.008041,40.739246,-74.008423,40.736137
C0445849669DD32191A5D3528E775FE7,B90CB3841A5DFECE54DE931FB2E908C4,CMT,1,N,2013-09-02 17:03:00,2013-09-02 17:13:26,1,626,2.40,-73.985931,40.726719,-73.976143,40.755573
4A8611840668476EDCB5462A11E63835,3E5FF00E90B2F45465D0B2A395E3FC97,CMT,1,N,2013-09-02 16:55:51,2013-09-02 16:59:29,2,217,2.70,-74.011261,40.715641,-74.002739,40.716999
B5CD6E2C74EEF0DCF8AE653F0BD8B4B8,56F2E28A057E867D4F53D1882229C70F,CMT,1,N,2013-09-02 04:48:16,2013-09-02 04:51:13,1,177,.80,-73.92804,40.769623,-73.92804,40.769623
A1544A7470D936F7E93B7BAEECBFC7DC,1BAADA775A9E783ABABD4563BB906A2F,CMT,1,N,2013-09-05 05:29:26,2013-09-05 05:32:48,1,201,.70,-73.981445,40.749592,-73.990936,40.750195
F8702593C564A7AB232F793DAC9AA668,CA44FD44AEE360505D64721448E81059,CMT,1,N,2013-09-03 01:48:57,2013-09-03 01:54:36,2,338,1.30,-73.982674,40.762081,-73.979485,40.776657
A1544A7470D936F7E93B7BAEECBFC7DC,1BAADA775A9E783ABABD4563BB906A2F,CMT,1,N,2013-09-05 05:05:46,2013-09-05 05:17:01,1,674,3.70,-74.000328,40.718681,-73.968491,40.762436
6A7DE4FA018649479E0971DDF7D0949A,30E78C70146FACBB4995134997E02253,CMT,1,N,2013-09-02 18:10:20,2013-09-02 18:15:08,1,288,1.00,-73.980804,40.764107,-73.990257,40.751282
040D8BEC832C494FA4EBED53768CFD4C,69ABC2D581D53C940263EEF06A1BF6EE,CMT,1,N,2013-09-05 04:50:39,2013-09-05 05:07:25,1,1005,2.90,-73.951576,40.74152,-73.971893,40.765099
509A3AFCF0B5518F9BD22AA6FFF56A83,B0506EFE48F42298DEB046C0C920788E,CMT,1,N,2013-09-02 01:49:05,2013-09-02 02:05:45,1,999,2.90,-73.9319,40.74445,-73.891724,40.754253
30F1595A8DA5B8BEC3DEBA9F0533B2B3,E0D70F016F155AC2E143F305001FDA48,CMT,1,N,2013-09-05 05:00:13,2013-09-05 05:16:27,2,974,6.80,-74.006477,40.743717,-73.935555,40.812023
30F1595A8DA5B8BEC3DEBA9F0533B2B3,E0D70F016F155AC2E143F305001FDA48,CMT,1,N,2013-09-05 05:40:19,2013-09-05 05:53:28,2,788,2.40,-73.986115,40.777508,-73.95462,40.765469
F47CB8CC67713530FDF49EA5018E765F,9A20FB1101FD5004FD9137EB7BCF7B19,CMT,1,N,2013-09-04 17:26:06,2013-09-04 17:28:47,1,160,.40,-73.958107,40.778816,-73.954086,40.784527
E7AF144D23A7CCBA024A90C42DB96C0B,7A8A7A49657C2EB69C332B20B0005CB6,CMT,1,N,2013-09-02 04:19:09,2013-09-02 04:22:05,1,176,.70,-74.013374,40.752327,-73.981003,40.769447
7395FD1C5546EA0736FC188CE31B5CA4,8756417F15D36255B20CFD768D77828E,CMT,1,N,2013-09-03 18:58:04,2013-09-03 19:09:26,1,682,1.70,-74.00206,40.723034,-74.005211,40.741856
F589CF4FFB738071509D84137549D729,FAD59182FE2C8BEC2A1781BA69FDFEC9,CMT,1,N,2013-09-03 23:11:15,2013-09-03 23:32:23,2,1267,9.80,-73.864883,40.770454,-73.974319,40.791512
CC6A05D589E85FE16DDD231507ED8081,BAB26E811EA3777AC4491C0F3B780CB7,CMT,1,N,2013-09-03 18:02:20,2013-09-03 18:08:57,1,397,1.00,-73.988876,40.744022,-73.985092,40.752907
4A4DA06C65CFA356CD538AF4B899430E,45B068E73C0043F230E1DEF13E5C0581,CMT,1,N,2013-09-05 06:12:56,2013-09-05 06:15:48,1,172,.60,-73.984688,40.75708,-73.980621,40.753269
0ECC4D3D2025A987532E1E5B5B26A119,22E20511475F8E7917334325BE95B769,CMT,1,N,2013-09-03 22:50:08,2013-09-03 22:58:59,1,531,1.70,-74.005829,40.740265,-73.981941,40.728107
6488BEDC92CE9FBFF4AB528D6CB359CD,F4BE4740F055D170103B1A90A368122B,CMT,1,N,2013-09-05 07:38:04,2013-09-05 07:44:04,1,359,.90,-73.991325,40.755413,-73.980545,40.753223
E1E0B45B68431E11079E0F33ADEB6C1B,1505AA9F51B782C9A96BB7477A656FF6,CMT,1,N,2013-09-05 05:46:24,2013-09-05 05:55:47,1,563,2.30,-73.955879,40.804623,-73.979919,40.783142
735BA884DC2CD626D856B65734ED41CE,A522D383E8B69C36538E7DE90FED6461,CMT,1,N,2013-09-03 20:05:17,2013-09-03 20:25:31,2,1213,2.80,-73.954788,40.769039,-73.990547,40.755638
92D1F47855573851F8CA2307CE757CB5,717D6E2523DCBAF819E6CD69CEF8EC67,CMT,1,N,2013-09-05 08:49:58,2013-09-05 08:55:54,1,356,.80,-73.988747,40.731098,-73.985764,40.740902
A7EA82551C3F649F81131138234D5167,EDA724C4D6D969F026AE3AAD0049C938,CMT,1,N,2013-09-02 19:24:57,2013-09-02 20:08:44,1,2626,12.20,-73.976707,40.753963,-73.946495,40.624577
37C3E7EADFDAE6F3C28E38014B27BEC7,2E8576C79152A921CFAD5BD07072D004,CMT,1,N,2013-09-04 10:20:49,2013-09-04 10:41:13,1,1223,2.70,-73.983986,40.780296,-73.952789,40.789013
0656C4136113432E5D0F1200BD7B0ED7,59CABAF0DABDE982EF181C3DE0099C70,CMT,1,N,2013-09-02 16:50:32,2013-09-02 17:21:33,1,1860,9.10,-73.86364,40.76992,-73.967384,40.798637
